Age,Sex,Job,Housing,Saving_accounts,Checking_account,Credit_amount,Duration,Purpose,Risk
67,male,2,own,,little,1169.0,6,radio/TV,good
85,female,2,own,19249.170894091894,moderate,30042.882006907865,48,radio/TV,bad
49,male,1,own,little,,2096.0,12,education,good
85,male,2,free,19565.146628748196,little,36924.07466080272,42,furniture/equipment,good
85,male,2,free,18835.73815632353,little,35475.97046686728,24,car,bad
85,male,1,free,13691.526199378803,,35799.48220704764,36,education,good
85,male,2,own,14109.025841428076,,31760.427381456957,24,furniture/equipment,good
85,male,3,rent,16358.047315098602,moderate,31933.621330567945,36,car,good
61,male,1,own,rich,,3059.0,12,radio/TV,good
28,male,3,own,little,moderate,5234.0,30,car,bad
25,female,2,rent,little,moderate,1295.0,12,car,bad
24,female,2,rent,little,little,4308.0,48,business,bad
22,female,2,own,little,moderate,1567.0,12,radio/TV,good
60,male,1,own,little,little,1199.0,24,car,bad
28,female,2,rent,little,little,1403.0,15,car,good
32,female,1,own,moderate,little,1282.0,24,radio/TV,bad
53,male,2,own,,,2424.0,24,radio/TV,good
25,male,2,own,,little,8072.0,30,business,good
44,female,3,free,little,moderate,12579.0,24,car,bad
31,male,2,own,quite rich,,3430.0,24,radio/TV,good
48,male,2,own,little,,2134.0,9,car,good
44,male,2,rent,quite rich,little,2647.0,6,radio/TV,good
48,male,1,rent,little,little,2241.0,10,car,good
85,male,2,own,17237.59394059629,moderate,31390.27850419235,12,car,good
26,male,2,own,,,2069.0,10,furniture/equipment,good
36,male,1,own,little,little,1374.0,6,furniture/equipment,good
39,male,1,own,little,,426.0,6,radio/TV,good
42,female,2,rent,rich,rich,409.0,12,radio/TV,good
34,male,2,own,little,moderate,2415.0,7,radio/TV,good
63,male,2,own,little,little,6836.0,60,business,bad
36,male,2,own,rich,moderate,1913.0,18,business,good
27,male,2,own,little,little,4020.0,24,furniture/equipment,good
30,male,2,own,moderate,moderate,5866.0,18,car,good
57,male,1,rent,,,1264.0,12,business,good
85,female,3,own,19963.854984782258,rich,30214.61562456915,12,furniture/equipment,good
85,male,1,own,26444.294209840747,moderate,26774.018323422413,45,radio/TV,bad
31,male,2,free,little,,6110.0,48,education,good
37,male,2,own,little,rich,2100.0,18,radio/TV,bad
37,male,2,own,little,rich,1225.0,10,domestic appliances,good
24,male,2,own,little,moderate,458.0,9,radio/TV,good
30,male,3,own,quite rich,,2333.0,30,radio/TV,good
26,male,2,own,quite rich,moderate,1158.0,12,radio/TV,good
85,male,1,own,19161.819608091035,moderate,33594.737787643906,18,repairs,good
85,male,2,rent,moderate,little,31825.398986378637,30,car,good
58,female,1,free,little,little,6143.0,48,car,bad
35,female,3,own,little,,1393.0,11,car,good
39,male,2,own,quite rich,,2299.0,36,radio/TV,good
23,female,0,rent,quite rich,little,1352.0,6,car,good
39,male,1,own,little,,7228.0,11,car,good
28,female,2,own,moderate,,2073.0,12,radio/TV,good
29,male,1,own,,moderate,2333.0,24,furniture/equipment,good
30,male,3,own,little,moderate,5965.0,27,car,good
25,male,2,own,little,,1262.0,12,radio/TV,good
31,male,2,own,,,3378.0,18,car,good
85,male,2,free,little,moderate,27582.70202485471,36,car,bad
26,male,1,own,,,783.0,6,car,good
52,male,3,own,,moderate,6468.0,12,radio/TV,bad
31,female,2,own,little,,9566.0,36,radio/TV,good
23,female,3,own,little,rich,1961.0,18,car,good
23,female,1,rent,little,little,6229.0,36,furniture/equipment,bad
27,male,2,own,little,moderate,1391.0,9,business,good
50,male,2,own,,moderate,1537.0,15,radio/TV,good
61,male,3,free,little,moderate,1953.0,36,business,bad
85,male,2,own,18944.058501159107,moderate,28463.10487719158,48,business,bad
26,female,2,own,little,,3181.0,24,radio/TV,good
48,male,2,own,,,5190.0,27,repairs,good
85,female,2,own,13112.976739759817,,24757.950110461083,12,radio/TV,good
22,male,2,own,rich,moderate,1007.0,12,car,good
37,male,2,free,little,,1819.0,36,education,bad
25,female,2,own,,,2394.0,36,radio/TV,good
30,female,2,own,little,,8133.0,36,car,good
46,male,1,rent,,,730.0,7,radio/TV,good
51,male,3,free,little,little,1164.0,8,vacation/others,good
85,female,1,own,little,moderate,26983.25578003368,42,business,good
40,male,3,own,,little,1977.0,36,education,bad
85,male,3,free,little,little,31631.928736921112,12,car,good
34,male,2,own,little,little,3965.0,42,radio/TV,bad
51,male,2,own,little,moderate,4771.0,11,radio/TV,good
39,male,1,own,,,9436.0,54,car,good
22,male,2,own,little,moderate,3832.0,30,furniture/equipment,good
44,female,2,own,,,5943.0,24,radio/TV,bad
47,male,2,own,quite rich,,1213.0,15,radio/TV,good
85,female,1,rent,23554.45336175181,,27221.081699844664,18,business,good
58,female,1,own,little,little,1755.0,24,vacation/others,good
52,male,1,own,little,little,2315.0,10,radio/TV,good
29,female,3,own,little,,1412.0,12,business,good
27,female,2,own,little,moderate,1295.0,18,furniture/equipment,good
47,male,2,free,moderate,moderate,12612.0,36,education,bad
30,male,3,own,moderate,little,2249.0,18,car,good
28,male,2,own,little,little,1108.0,12,repairs,bad
56,male,2,own,little,,618.0,12,radio/TV,good
54,male,2,own,little,little,1409.0,12,car,good
33,female,1,own,,,797.0,12,radio/TV,bad
20,male,2,rent,,rich,3617.0,24,furniture/equipment,good
54,male,2,own,rich,moderate,1318.0,12,car,good
58,male,2,rent,little,moderate,15945.0,54,business,bad
61,female,2,own,,,2012.0,12,education,good
34,male,2,own,moderate,moderate,2622.0,18,business,good
36,male,2,own,little,moderate,2337.0,36,radio/TV,good
36,male,3,rent,,moderate,7057.0,20,car,good
41,male,1,rent,moderate,,1469.0,24,car,good
24,male,2,rent,little,moderate,2323.0,36,radio/TV,good
24,female,2,own,little,,932.0,6,radio/TV,good
35,male,2,rent,little,moderate,1919.0,9,furniture/equipment,good
26,male,2,rent,,,2445.0,12,car,good
39,male,3,own,little,moderate,11938.0,24,vacation/others,bad
39,male,3,own,little,,6458.0,18,car,bad
32,male,2,own,little,moderate,6078.0,12,car,good
30,female,2,own,,little,7721.0,24,furniture/equipment,good
35,male,2,own,quite rich,moderate,1410.0,14,business,good
31,male,2,own,moderate,moderate,1449.0,6,business,good
23,female,2,rent,little,rich,392.0,15,education,good
28,male,1,rent,little,moderate,6260.0,18,car,good
25,female,2,own,little,,7855.0,36,car,bad
35,male,2,own,quite rich,little,1680.0,12,radio/TV,good
47,male,2,own,,,3578.0,48,radio/TV,good
30,female,3,own,,little,7174.0,42,radio/TV,bad
27,female,2,rent,,little,2132.0,10,furniture/equipment,good
23,female,2,own,quite rich,little,4281.0,33,furniture/equipment,bad
36,male,3,own,quite rich,moderate,2366.0,12,car,good
25,female,2,own,little,little,1835.0,21,radio/TV,bad
41,female,3,rent,little,,3868.0,24,car,good
24,male,1,rent,little,,1768.0,12,furniture/equipment,good
85,male,2,free,22979.33097282893,rich,31759.256168375334,10,car,good
27,female,2,rent,,moderate,1924.0,18,furniture/equipment,bad
30,male,2,own,little,little,2121.0,12,car,good
40,male,1,own,little,little,701.0,12,radio/TV,good
30,male,2,own,little,moderate,639.0,12,repairs,bad
34,male,3,own,little,moderate,1860.0,12,car,good
29,female,2,own,little,little,3499.0,12,car,bad
24,female,2,own,,moderate,8487.0,48,car,good
29,male,2,own,little,little,6887.0,36,education,bad
27,male,1,own,little,,2708.0,15,furniture/equipment,good
47,male,2,free,little,,1984.0,18,furniture/equipment,good
21,female,2,own,moderate,,10144.0,60,radio/TV,good
38,female,2,own,,,1240.0,12,radio/TV,good
27,male,2,own,rich,,8613.0,27,car,good
66,male,1,own,quite rich,moderate,766.0,12,radio/TV,bad
35,male,2,own,,moderate,2728.0,15,radio/TV,good
44,female,1,rent,little,rich,1881.0,12,radio/TV,good
27,male,0,own,rich,rich,709.0,6,car,good
85,female,3,own,19693.267963723298,moderate,31793.547257750688,36,radio/TV,good
27,male,3,own,little,little,3416.0,27,radio/TV,good
22,male,2,own,little,little,2462.0,18,furniture/equipment,bad
23,female,2,own,little,,2288.0,21,furniture/equipment,good
30,male,2,own,moderate,moderate,3566.0,48,business,good
39,female,2,own,little,little,860.0,6,car,good
51,female,2,own,moderate,,682.0,12,car,good
28,male,2,own,little,little,5371.0,36,furniture/equipment,good
46,male,2,own,rich,,1582.0,18,radio/TV,good
42,male,2,free,moderate,,1346.0,6,radio/TV,good
38,male,2,own,little,,1924.0,10,radio/TV,good
24,male,2,own,little,rich,5848.0,36,radio/TV,good
29,female,2,rent,rich,moderate,7758.0,24,car,good
36,male,3,rent,moderate,moderate,6967.0,24,business,good
20,female,2,rent,little,little,1282.0,12,furniture/equipment,bad
48,male,2,own,moderate,little,1288.0,9,repairs,good
45,male,1,own,little,little,339.0,12,education,good
38,male,2,own,moderate,moderate,3512.0,24,car,good
34,male,1,own,,,1898.0,6,radio/TV,good
36,male,2,own,moderate,,2872.0,24,radio/TV,good
30,female,2,own,little,,1055.0,18,car,good
36,male,2,own,quite rich,,1262.0,15,domestic appliances,good
70,male,3,free,little,moderate,7308.0,10,car,good
36,male,2,own,quite rich,,909.0,36,car,good
32,male,2,own,quite rich,,2978.0,6,furniture/equipment,good
33,female,2,own,little,little,1131.0,18,furniture/equipment,bad
20,female,2,own,rich,moderate,1577.0,11,furniture/equipment,good
25,female,2,rent,little,,3972.0,24,furniture/equipment,good
31,male,2,own,little,moderate,1935.0,24,business,bad
33,male,2,rent,little,little,950.0,15,car,bad
26,female,2,own,little,,763.0,12,furniture/equipment,good
34,female,3,own,little,moderate,2064.0,24,furniture/equipment,bad
33,male,2,own,little,moderate,1414.0,8,radio/TV,good
26,male,2,own,little,little,3414.0,21,education,bad
53,female,3,own,,,7485.0,30,car,bad
42,male,2,own,little,little,2577.0,12,furniture/equipment,good
52,male,2,own,quite rich,little,338.0,6,radio/TV,good
31,male,3,rent,little,,1963.0,12,radio/TV,good
65,male,2,own,little,little,571.0,21,car,good
28,male,2,own,little,,9572.0,36,business,bad
30,male,3,own,little,moderate,4455.0,36,business,bad
40,male,1,own,,little,1647.0,21,car,bad
50,male,2,own,rich,,3777.0,24,furniture/equipment,good
36,male,2,own,little,moderate,884.0,18,car,bad
31,male,2,own,little,,1360.0,15,radio/TV,good
74,female,3,free,little,moderate,5129.0,9,car,bad
68,male,0,free,little,moderate,1175.0,16,car,good
20,male,2,own,moderate,little,674.0,12,radio/TV,bad
33,female,2,own,little,moderate,3244.0,18,furniture/equipment,good
54,male,3,own,rich,,4591.0,24,business,bad
34,male,1,free,moderate,moderate,3844.0,48,business,bad
36,male,2,own,little,moderate,3915.0,27,business,bad
29,male,2,rent,little,,2108.0,6,radio/TV,good
21,male,2,rent,moderate,moderate,3031.0,45,radio/TV,bad
34,female,3,own,little,moderate,1501.0,9,education,bad
28,female,2,own,little,,1382.0,6,radio/TV,good
27,female,2,rent,moderate,moderate,951.0,12,furniture/equipment,bad
36,male,2,free,,moderate,2760.0,24,car,good
40,male,3,own,little,moderate,4297.0,18,furniture/equipment,bad
52,male,2,own,quite rich,,936.0,9,education,good
27,male,1,own,little,little,1168.0,12,car,good
26,male,2,own,little,,5117.0,27,business,good
21,male,2,rent,little,little,902.0,12,education,bad
38,male,1,own,little,,1495.0,12,car,good
38,male,3,free,little,little,10623.0,30,car,good
43,male,2,own,little,,1935.0,12,furniture/equipment,good
26,male,2,own,little,moderate,1424.0,12,domestic appliances,good
21,male,1,own,little,little,6568.0,24,business,good
55,male,2,own,rich,,1413.0,12,car,good
33,male,2,own,,,3074.0,9,radio/TV,good
45,female,1,own,,,3835.0,36,radio/TV,good
50,male,2,own,little,little,5293.0,27,business,bad
66,male,3,own,little,rich,1908.0,30,business,bad
51,male,2,own,,,3342.0,36,radio/TV,good
39,female,1,own,,moderate,932.0,6,education,good
31,male,2,own,little,little,3104.0,18,business,good
23,male,2,own,little,rich,3913.0,36,radio/TV,good
24,male,1,rent,little,little,3021.0,24,furniture/equipment,good
64,female,2,own,little,,1364.0,10,car,good
26,male,1,own,little,moderate,625.0,12,radio/TV,good
23,female,2,rent,,little,1200.0,12,education,good
30,male,2,own,little,,707.0,12,radio/TV,good
32,male,2,own,,,2978.0,24,business,good
30,male,2,own,little,,4657.0,15,car,good
27,male,2,own,little,,2613.0,36,repairs,good
27,male,2,own,rich,moderate,10961.0,48,radio/TV,bad
53,male,3,free,little,little,7865.0,12,furniture/equipment,bad
22,male,2,own,little,,1478.0,9,radio/TV,bad
22,male,2,free,little,little,3149.0,24,furniture/equipment,good
26,male,2,own,little,rich,4210.0,36,radio/TV,bad
51,male,1,free,quite rich,,2507.0,9,car,good
35,male,2,own,moderate,,2141.0,12,radio/TV,good
25,male,1,own,little,moderate,866.0,18,radio/TV,good
42,male,1,own,little,,1544.0,4,radio/TV,good
30,male,3,own,little,little,1823.0,24,radio/TV,bad
23,male,0,own,,moderate,14555.0,6,car,bad
61,male,1,rent,moderate,moderate,2767.0,21,business,bad
35,female,2,own,little,,1291.0,12,radio/TV,good
39,male,2,own,little,little,2522.0,30,radio/TV,good
29,female,2,own,,little,915.0,24,car,bad
51,male,2,own,little,,1595.0,6,radio/TV,good
24,male,2,free,little,little,4605.0,48,car,bad
27,female,2,own,little,,1185.0,12,business,good
35,female,1,own,quite rich,,3447.0,12,education,good
25,male,2,own,little,,1258.0,24,business,good
52,male,2,own,little,,717.0,12,radio/TV,good
35,male,2,rent,moderate,,1204.0,6,car,good
26,male,2,own,little,rich,1925.0,24,furniture/equipment,good
22,female,2,rent,little,,433.0,18,radio/TV,bad
39,female,1,own,rich,little,666.0,6,car,good
46,female,1,own,little,rich,2251.0,12,furniture/equipment,good
24,female,2,own,little,moderate,2150.0,30,car,bad
35,male,2,own,moderate,,4151.0,24,furniture/equipment,good
24,male,2,own,,moderate,2030.0,9,furniture/equipment,good
27,male,1,own,,moderate,7418.0,60,radio/TV,good
35,male,1,own,little,,2684.0,24,radio/TV,good
29,male,2,free,little,little,2149.0,12,radio/TV,bad
23,female,2,own,moderate,,3812.0,15,car,good
57,female,1,own,moderate,,1154.0,11,radio/TV,good
27,male,2,own,little,little,1657.0,12,furniture/equipment,good
55,female,2,own,little,little,1603.0,24,radio/TV,good
36,male,3,free,little,little,5302.0,18,car,good
57,female,1,free,little,,2748.0,12,education,good
32,male,1,own,little,,1231.0,10,car,good
37,male,2,own,little,moderate,802.0,15,radio/TV,bad
36,male,2,own,,,6304.0,36,business,good
38,female,2,own,little,,1533.0,24,radio/TV,good
45,male,3,own,little,little,8978.0,14,car,bad
25,male,2,own,,,999.0,24,radio/TV,good
32,male,2,own,,,2662.0,18,car,good
37,female,2,rent,quite rich,,1402.0,12,furniture/equipment,good
36,male,3,free,,moderate,12169.0,48,car,good
28,male,2,own,little,moderate,3060.0,48,radio/TV,bad
34,male,1,own,little,little,11998.0,30,repairs,bad
32,male,2,own,little,,2697.0,9,radio/TV,good
26,female,2,own,little,,2404.0,18,radio/TV,good
49,male,1,own,,little,1262.0,12,furniture/equipment,good
32,female,2,own,little,,4611.0,6,furniture/equipment,bad
29,male,3,rent,moderate,,1901.0,24,radio/TV,good
23,male,2,rent,rich,,3368.0,15,car,good
50,male,2,own,little,,1574.0,12,furniture/equipment,good
49,male,1,own,,rich,1445.0,18,radio/TV,good
63,male,2,own,,,1520.0,15,furniture/equipment,good
37,male,2,own,moderate,moderate,3878.0,24,car,good
35,female,1,own,little,little,10722.0,47,car,good
26,male,2,own,little,little,4788.0,48,car,good
31,male,3,free,moderate,moderate,7582.0,48,vacation/others,good
49,female,2,own,little,moderate,1092.0,12,radio/TV,good
48,male,2,own,little,little,1024.0,24,radio/TV,bad
26,male,2,own,little,,1076.0,12,business,good
28,male,3,rent,little,moderate,9398.0,36,car,bad
44,female,3,free,little,little,6419.0,24,car,good
56,male,2,free,little,rich,4796.0,42,car,good
46,male,3,own,,,7629.0,48,business,good
26,female,2,own,little,moderate,9960.0,48,furniture/equipment,bad
20,female,2,rent,,,4675.0,12,car,good
45,male,1,own,,,1287.0,10,car,good
43,male,2,own,little,,2515.0,18,furniture/equipment,good
32,male,2,own,rich,moderate,2745.0,21,furniture/equipment,good
54,female,0,own,little,,672.0,6,car,good
42,female,2,own,little,moderate,3804.0,36,radio/TV,bad
37,male,1,own,,rich,1344.0,24,car,bad
49,male,2,own,little,little,1038.0,10,car,good
44,male,2,free,quite rich,,10127.0,48,car,bad
33,male,2,own,rich,,1543.0,6,furniture/equipment,good
24,female,1,rent,,,4811.0,30,car,good
33,male,1,own,moderate,little,727.0,12,radio/TV,bad
24,female,2,own,little,moderate,1237.0,8,furniture/equipment,bad
22,male,1,rent,little,moderate,276.0,9,car,good
40,male,0,free,,moderate,5381.0,48,vacation/others,good
25,male,2,own,moderate,,5511.0,24,furniture/equipment,good
26,female,2,own,little,rich,3749.0,24,furniture/equipment,good
85,male,1,own,19355.468177681556,moderate,26723.039465117985,12,car,bad
29,male,1,own,,rich,1494.0,4,car,good
31,male,2,own,little,little,2746.0,36,furniture/equipment,bad
38,male,1,own,little,little,708.0,12,furniture/equipment,good
48,female,1,own,,moderate,4351.0,24,furniture/equipment,good
32,male,2,own,little,,701.0,12,education,good
27,female,1,own,little,little,3643.0,15,furniture/equipment,good
28,male,3,own,little,moderate,4249.0,30,car,bad
32,male,2,own,little,little,1938.0,24,radio/TV,bad
34,male,3,free,little,little,2910.0,24,car,good
28,male,2,own,rich,little,2659.0,18,furniture/equipment,good
36,female,2,own,little,,1028.0,18,car,good
39,male,1,own,little,little,3398.0,8,car,good
49,male,2,rent,,,5801.0,12,furniture/equipment,good
34,female,2,own,rich,,1525.0,24,car,good
31,male,2,own,little,rich,4473.0,36,radio/TV,good
28,male,2,own,little,moderate,1068.0,6,radio/TV,good
75,male,3,free,little,little,6615.0,24,car,good
30,female,2,own,moderate,,1864.0,18,education,bad
24,female,3,own,moderate,moderate,7408.0,60,car,bad
24,female,1,rent,moderate,,11590.0,48,car,bad
23,male,2,rent,little,little,4110.0,24,furniture/equipment,bad
44,male,3,rent,little,little,3384.0,6,furniture/equipment,bad
23,female,1,own,little,moderate,2101.0,13,radio/TV,good
24,female,2,rent,,little,1275.0,15,domestic appliances,bad
28,male,2,own,little,little,4169.0,24,furniture/equipment,good
31,male,1,own,little,moderate,1521.0,10,furniture/equipment,good
24,female,2,free,little,moderate,5743.0,24,education,good
26,female,1,rent,little,little,3599.0,21,furniture/equipment,good
85,male,2,rent,18774.8964749413,moderate,33199.91447077138,18,radio/TV,good
33,male,3,own,little,moderate,4439.0,18,business,good
37,male,1,own,little,rich,3949.0,10,car,good
43,female,1,own,little,,1459.0,15,radio/TV,good
85,male,2,own,23999.04866877007,moderate,32088.376732123183,13,radio/TV,good
23,female,0,rent,quite rich,moderate,3758.0,24,radio/TV,good
34,male,1,own,moderate,,1743.0,6,business,good
32,male,2,free,rich,moderate,1136.0,9,education,bad
23,female,2,rent,little,,1236.0,9,domestic appliances,good
29,female,2,own,little,moderate,959.0,9,furniture/equipment,bad
38,male,3,own,,,3229.0,18,car,good
28,male,2,rent,little,little,6199.0,12,radio/TV,bad
85,male,2,free,quite rich,,27221.74227436087,10,education,good
23,male,1,own,little,moderate,1246.0,24,car,bad
49,male,2,own,,,2331.0,12,radio/TV,good
26,male,3,own,little,,4463.0,36,radio/TV,bad
28,male,2,own,little,,776.0,12,radio/TV,good
23,female,2,rent,little,little,2406.0,30,furniture/equipment,bad
61,male,2,free,,moderate,1239.0,18,education,good
37,male,3,own,,rich,3399.0,12,radio/TV,good
36,female,2,own,little,rich,2247.0,12,car,good
85,male,2,rent,21220.436727642402,,31765.230266477807,6,furniture/equipment,good
85,male,0,own,little,little,28511.258166230167,18,furniture/equipment,bad
36,male,2,own,little,,1542.0,12,business,good
27,male,2,own,little,,3850.0,18,car,good
22,female,2,rent,little,little,3650.0,18,furniture/equipment,good
42,male,2,own,little,little,3446.0,36,furniture/equipment,bad
40,female,2,rent,little,moderate,3001.0,18,furniture/equipment,good
36,male,2,own,,,3079.0,36,car,good
33,male,2,own,little,,6070.0,18,radio/TV,good
23,female,2,rent,little,,2146.0,10,furniture/equipment,good
63,male,3,free,,,13756.0,60,car,good
60,female,3,free,moderate,moderate,14782.0,60,vacation/others,bad
37,female,2,rent,little,little,7685.0,48,business,bad
34,male,2,own,little,,2320.0,18,radio/TV,good
36,male,2,free,,,846.0,7,radio/TV,good
57,male,3,free,little,moderate,14318.0,36,car,bad
52,female,1,own,moderate,,362.0,6,car,good
39,male,2,own,,little,2212.0,20,furniture/equipment,good
38,female,3,free,little,moderate,12976.0,18,car,bad
25,female,2,rent,,,1283.0,22,car,good
26,male,2,own,little,rich,1330.0,12,car,good
26,male,1,own,moderate,,4272.0,30,business,good
25,female,2,own,little,,2238.0,18,radio/TV,good
21,female,2,rent,,,1126.0,18,radio/TV,good
40,male,3,own,little,moderate,7374.0,18,furniture/equipment,good
27,male,2,own,quite rich,moderate,2326.0,15,business,good
27,female,2,own,little,,1449.0,9,business,good
30,male,3,own,little,,1820.0,18,car,good
19,female,1,rent,rich,moderate,983.0,12,furniture/equipment,good
39,male,3,free,little,little,3249.0,36,car,good
31,female,2,own,little,little,1957.0,6,radio/TV,good
31,male,3,own,little,,2406.0,9,furniture/equipment,good
32,male,2,rent,moderate,moderate,11760.0,39,education,good
55,female,3,free,little,little,2578.0,12,furniture/equipment,good
46,male,2,own,little,little,2348.0,36,furniture/equipment,good
46,male,2,rent,little,moderate,1223.0,12,car,bad
43,female,1,own,rich,,1516.0,24,radio/TV,good
39,male,2,own,little,,1473.0,18,radio/TV,good
28,male,2,own,,moderate,1887.0,18,business,good
27,male,2,own,little,,8648.0,24,business,bad
27,male,1,own,little,,802.0,14,car,good
43,male,2,own,,moderate,2899.0,18,car,good
22,male,2,own,little,moderate,2039.0,24,radio/TV,bad
43,male,2,own,,,2197.0,24,car,good
27,male,2,own,little,little,1053.0,15,radio/TV,good
26,male,3,own,quite rich,,3235.0,24,radio/TV,good
28,male,2,own,quite rich,rich,939.0,12,car,bad
20,female,2,own,little,moderate,1967.0,24,radio/TV,good
35,male,3,own,little,,7253.0,33,car,good
42,male,3,own,little,,2292.0,12,business,bad
40,male,1,rent,quite rich,,1597.0,10,car,good
35,female,2,own,,little,1381.0,24,car,bad
35,male,2,own,little,,5842.0,36,car,good
33,male,1,own,little,little,2579.0,12,car,bad
23,female,2,rent,,little,8471.0,18,education,good
31,female,3,own,quite rich,,2782.0,21,car,good
33,female,2,own,,moderate,1042.0,18,car,bad
20,female,2,rent,rich,,3186.0,15,car,good
30,male,2,own,,moderate,2028.0,12,car,good
47,male,1,own,little,moderate,958.0,12,car,good
34,male,3,own,moderate,,1591.0,21,furniture/equipment,good
25,female,2,own,,moderate,2762.0,12,furniture/equipment,bad
21,male,2,rent,little,moderate,2779.0,18,car,good
29,male,2,own,little,,2743.0,28,radio/TV,good
46,male,2,own,rich,,1149.0,18,radio/TV,good
20,male,2,own,little,,1313.0,9,furniture/equipment,good
55,female,0,free,little,little,1190.0,18,repairs,bad
74,male,1,own,little,,3448.0,5,business,good
29,male,3,own,little,moderate,11328.0,24,vacation/others,bad
36,male,3,free,little,little,1872.0,6,furniture/equipment,good
33,male,2,own,little,,2058.0,24,repairs,good
25,male,2,own,little,little,2136.0,9,furniture/equipment,good
25,male,2,own,,moderate,1484.0,12,radio/TV,bad
23,male,1,rent,quite rich,,660.0,6,repairs,good
37,female,2,own,rich,,1287.0,24,car,good
65,male,0,own,little,little,3394.0,42,repairs,good
26,female,0,own,little,rich,609.0,12,business,bad
39,male,3,own,little,,1884.0,12,car,good
30,female,2,own,little,little,1620.0,12,furniture/equipment,good
29,male,2,own,little,moderate,2629.0,20,vacation/others,good
41,male,1,own,little,,719.0,12,education,bad
30,female,3,own,little,moderate,5096.0,48,furniture/equipment,bad
41,female,1,rent,,,1244.0,9,education,good
34,female,2,own,little,little,1842.0,36,car,bad
35,male,2,own,little,moderate,2576.0,7,radio/TV,good
55,female,3,own,,rich,1424.0,12,furniture/equipment,good
61,male,2,own,rich,moderate,1512.0,15,repairs,bad
30,male,3,own,,,11054.0,36,car,good
29,female,2,own,little,,518.0,6,radio/TV,good
85,male,2,own,21653.19241673529,,29138.175410790245,12,furniture/equipment,good
35,male,3,own,little,,2670.0,24,car,good
31,male,2,own,little,little,4817.0,24,car,bad
29,female,3,own,little,,2679.0,24,car,good
36,male,2,rent,little,little,3905.0,11,car,good
35,male,2,free,little,little,3386.0,12,car,bad
27,female,2,own,little,little,343.0,6,domestic appliances,good
32,male,2,own,little,,4594.0,18,radio/TV,good
37,male,2,own,little,little,3620.0,36,furniture/equipment,good
36,male,2,own,little,little,1721.0,15,car,good
34,female,3,rent,little,moderate,3017.0,12,furniture/equipment,good
38,male,2,own,,moderate,754.0,12,education,good
34,male,2,own,little,,1950.0,18,business,good
63,male,2,own,little,little,2924.0,24,car,good
29,female,1,rent,little,little,1659.0,24,radio/TV,bad
32,male,2,own,,,7238.0,48,radio/TV,good
26,female,2,own,little,,2764.0,33,business,good
35,male,1,own,little,,4679.0,24,car,good
22,male,2,rent,moderate,moderate,3092.0,24,radio/TV,bad
23,female,2,own,little,little,448.0,6,education,bad
28,male,1,own,little,little,654.0,9,car,bad
36,male,3,own,,,1238.0,6,education,good
33,male,2,own,little,moderate,1245.0,18,radio/TV,bad
26,female,2,rent,little,little,3114.0,18,furniture/equipment,bad
24,male,2,own,quite rich,,2569.0,39,car,good
25,male,2,own,little,rich,5152.0,24,radio/TV,good
39,male,1,own,moderate,moderate,1037.0,12,business,good
44,male,2,own,little,little,1478.0,15,furniture/equipment,good
23,female,1,own,little,moderate,3573.0,12,radio/TV,good
26,male,2,own,little,moderate,1201.0,24,car,good
57,female,2,rent,rich,little,3622.0,30,furniture/equipment,good
30,female,2,own,rich,,960.0,15,furniture/equipment,good
44,male,2,own,quite rich,,1163.0,12,car,good
47,male,3,own,little,moderate,1209.0,6,car,bad
52,male,2,own,little,,3077.0,12,radio/TV,good
62,female,2,free,little,,3757.0,24,car,good
35,male,1,rent,moderate,,1418.0,10,car,good
26,male,2,rent,little,,3518.0,6,car,good
