Age,Sex,Job,Housing,Saving_accounts,Checking_account,Credit_amount,Duration,Purpose,Risk
26,male,2,own,little,,1934.0,12,radio/TV,good
42,female,3,free,little,moderate,8318.0,27,business,bad
27,female,2,own,moderate,,1237.0,6,radio/TV,good
38,male,2,own,,moderate,368.0,6,radio/TV,good
39,male,1,rent,little,little,2122.0,12,car,good
20,male,2,own,,little,2996.0,24,furniture/equipment,bad
29,male,3,rent,moderate,moderate,9034.0,36,furniture/equipment,bad
40,male,2,own,little,,1585.0,24,furniture/equipment,good
32,male,1,own,little,moderate,1301.0,18,radio/TV,good
28,male,2,own,moderate,rich,1323.0,6,car,good
27,female,2,own,little,little,3123.0,24,car,bad
42,male,2,free,little,little,5493.0,36,car,good
49,male,2,own,moderate,rich,1126.0,9,radio/TV,good
38,male,2,own,moderate,moderate,1216.0,24,radio/TV,bad
24,female,2,rent,little,little,1207.0,24,car,bad
27,male,1,own,,,1309.0,10,car,bad
36,male,2,own,quite rich,rich,2360.0,15,car,good
34,male,3,own,moderate,moderate,6850.0,15,car,bad
28,male,2,own,little,,1413.0,24,radio/TV,good
45,male,3,own,moderate,,8588.0,39,car,good
26,male,2,own,little,little,759.0,12,car,bad
32,male,3,free,little,,4686.0,36,car,good
26,male,2,rent,little,rich,2687.0,15,business,good
20,male,2,rent,little,moderate,585.0,12,radio/TV,good
54,male,2,own,,,2255.0,24,car,good
37,female,2,own,little,little,609.0,6,car,good
40,male,1,own,little,little,1361.0,6,car,good
23,female,2,rent,little,,7127.0,36,furniture/equipment,bad
43,male,2,own,moderate,little,1203.0,6,car,good
36,male,2,free,,,700.0,6,radio/TV,good
44,male,2,free,little,,5507.0,24,repairs,good
24,female,2,own,little,little,3190.0,18,radio/TV,bad
53,male,2,free,little,little,7119.0,48,furniture/equipment,bad
23,female,2,own,moderate,,3488.0,24,car,good
26,female,1,own,little,moderate,1113.0,18,radio/TV,good
30,male,2,own,little,moderate,7966.0,26,car,good
31,female,2,own,moderate,,1532.0,15,education,good
42,male,1,own,little,,1503.0,4,radio/TV,good
31,male,2,rent,little,little,2302.0,36,radio/TV,bad
41,male,1,own,little,little,662.0,6,car,good
32,male,2,own,little,moderate,2273.0,36,education,good
28,female,2,rent,moderate,moderate,2631.0,15,car,bad
41,male,2,rent,little,,1503.0,12,car,good
26,male,2,own,moderate,,1311.0,24,radio/TV,good
85,male,2,own,,,25125.130209432857,24,radio/TV,good
33,male,2,rent,little,rich,2319.0,21,education,bad
75,female,3,own,,little,1374.0,6,car,good
37,female,2,own,little,moderate,3612.0,18,furniture/equipment,good
42,male,3,free,little,little,7763.0,48,car,bad
45,female,1,own,little,rich,3049.0,18,furniture/equipment,good
23,male,2,rent,little,moderate,1534.0,12,radio/TV,bad
60,male,2,free,little,,2032.0,24,car,good
31,male,2,own,,little,6350.0,30,furniture/equipment,bad
34,male,1,own,little,rich,2864.0,18,furniture/equipment,bad
61,male,1,own,little,,1255.0,12,car,good
43,male,2,free,little,little,1333.0,24,car,bad
37,female,2,own,little,,2022.0,24,car,good
32,male,2,own,little,,1552.0,24,radio/TV,good
24,female,1,own,little,little,626.0,12,radio/TV,bad
35,male,2,free,,,8858.0,48,car,good
23,female,2,own,,,996.0,12,repairs,good
45,male,1,own,quite rich,,1750.0,6,radio/TV,good
34,male,2,own,little,little,6999.0,48,radio/TV,bad
27,male,2,own,moderate,moderate,1995.0,12,car,good
67,female,3,own,little,moderate,1199.0,9,education,good
22,male,2,own,little,moderate,1331.0,12,radio/TV,bad
28,female,2,own,moderate,moderate,2278.0,18,car,bad
29,female,2,own,,,5003.0,21,car,bad
27,male,2,own,little,little,3552.0,24,furniture/equipment,bad
31,male,1,own,little,moderate,1928.0,18,furniture/equipment,bad
49,male,2,free,,little,2964.0,24,car,good
24,male,1,rent,little,little,1546.0,24,radio/TV,bad
29,female,2,own,little,rich,683.0,6,radio/TV,good
37,male,2,free,,moderate,12389.0,36,car,bad
37,male,3,own,,moderate,4712.0,24,business,good
23,female,2,rent,moderate,moderate,1553.0,24,radio/TV,good
36,male,2,own,little,little,1372.0,12,car,bad
34,male,2,own,rich,,2578.0,24,radio/TV,good
41,male,2,own,,moderate,3979.0,48,radio/TV,good
31,female,2,own,little,little,6758.0,48,radio/TV,bad
23,female,1,rent,little,little,3234.0,24,furniture/equipment,bad
38,male,2,own,little,,5954.0,30,radio/TV,good
26,female,3,rent,,,5433.0,24,car,good
22,female,1,own,little,little,806.0,15,business,good
27,male,1,own,little,moderate,1082.0,9,radio/TV,good
24,female,2,own,little,,2788.0,15,furniture/equipment,good
27,female,2,own,little,moderate,2930.0,12,radio/TV,good
33,female,2,own,,,1927.0,24,education,good
27,male,2,own,little,moderate,2820.0,36,car,bad
27,male,1,own,little,,937.0,24,education,good
30,male,2,own,little,moderate,1056.0,18,car,bad
49,male,1,own,little,moderate,3124.0,12,car,good
26,female,2,rent,little,,1388.0,9,furniture/equipment,good
33,male,1,rent,little,moderate,2384.0,36,repairs,bad
52,female,3,free,,,2133.0,12,car,good
20,female,2,rent,little,little,2039.0,18,furniture/equipment,bad
36,male,2,rent,little,little,2799.0,9,car,good
21,male,1,own,little,little,1289.0,12,furniture/equipment,good
47,male,1,own,little,little,1217.0,18,domestic appliances,bad
60,male,2,own,little,little,2246.0,12,furniture/equipment,bad
58,female,1,own,little,little,385.0,12,radio/TV,good
42,female,2,rent,,moderate,1965.0,24,car,good
36,female,1,own,rich,,1572.0,21,business,good
20,female,1,rent,little,moderate,2718.0,24,car,bad
40,male,3,own,,little,1358.0,24,vacation/others,bad
32,female,1,own,moderate,moderate,931.0,6,car,bad
23,female,2,rent,little,little,1442.0,24,car,bad
36,male,1,own,little,moderate,4241.0,24,business,bad
31,male,2,own,little,,2775.0,18,car,bad
32,male,2,free,little,,3863.0,24,business,good
45,female,2,own,little,moderate,2329.0,7,radio/TV,good
30,female,2,own,little,moderate,918.0,9,furniture/equipment,bad
34,female,1,free,little,moderate,1837.0,24,education,bad
28,female,3,own,little,,3349.0,36,furniture/equipment,bad
23,female,2,own,little,rich,1275.0,10,furniture/equipment,good
22,male,2,own,quite rich,little,2828.0,24,furniture/equipment,good
74,male,3,own,little,,4526.0,24,business,good
50,female,2,free,moderate,moderate,2671.0,36,radio/TV,bad
33,male,2,own,little,,2051.0,18,radio/TV,good
45,male,2,free,,,1300.0,15,car,good
22,female,2,own,moderate,little,741.0,12,domestic appliances,bad
48,female,1,free,moderate,rich,1240.0,10,car,bad
29,female,2,own,rich,little,3357.0,21,radio/TV,good
22,female,2,rent,little,little,3632.0,24,car,good
22,female,2,own,little,,1808.0,18,furniture/equipment,bad
48,male,3,own,,moderate,12204.0,48,business,good
27,male,3,free,,moderate,9157.0,60,radio/TV,good
37,male,2,rent,little,little,3676.0,6,car,good
21,female,2,rent,moderate,moderate,3441.0,30,furniture/equipment,bad
49,male,1,own,little,,640.0,12,car,good
27,male,2,own,little,moderate,3652.0,21,business,good
32,male,2,own,little,,1530.0,18,car,bad
38,male,2,own,,,3914.0,48,business,bad
22,female,2,rent,little,little,1858.0,12,furniture/equipment,good
65,male,2,free,little,little,2600.0,18,radio/TV,bad
35,male,2,own,,,1979.0,15,radio/TV,good
41,male,2,own,little,rich,2116.0,6,furniture/equipment,good
29,male,2,own,moderate,moderate,1437.0,9,car,bad
36,male,2,own,quite rich,,4042.0,42,furniture/equipment,good
64,male,1,own,,,3832.0,9,education,good
28,female,2,own,little,little,3660.0,24,radio/TV,good
44,male,2,own,little,little,1553.0,18,furniture/equipment,bad
23,male,2,own,,moderate,1444.0,15,radio/TV,good
19,female,2,rent,little,,1980.0,9,furniture/equipment,bad
25,female,1,own,little,moderate,1355.0,24,car,bad
47,male,2,own,little,,1393.0,12,education,good
28,female,2,own,quite rich,,1376.0,24,radio/TV,good
21,male,2,own,little,,15653.0,60,radio/TV,good
34,female,2,own,little,,1493.0,12,radio/TV,good
26,male,2,own,little,little,4370.0,42,radio/TV,bad
27,female,0,own,little,little,750.0,18,education,bad
38,male,1,own,little,moderate,1308.0,15,repairs,good
40,male,3,own,moderate,,4623.0,15,education,bad
33,male,2,own,little,,1851.0,24,radio/TV,good
32,male,3,own,little,little,1880.0,18,radio/TV,good
27,male,2,rent,,,7980.0,36,business,bad
32,male,2,own,little,little,4583.0,30,furniture/equipment,good
26,female,2,own,quite rich,,1386.0,12,car,bad
38,male,2,free,little,rich,947.0,24,car,bad
40,male,1,rent,little,little,684.0,12,education,bad
50,male,3,free,little,little,7476.0,48,education,good
37,male,1,own,little,moderate,1922.0,12,furniture/equipment,bad
45,male,2,own,little,little,2303.0,24,car,bad
42,male,3,own,moderate,moderate,8086.0,36,car,bad
35,male,2,own,little,,2346.0,24,car,good
22,male,2,free,little,little,3973.0,14,car,good
41,male,1,own,little,moderate,888.0,12,car,bad
37,male,2,own,,,10222.0,48,radio/TV,good
28,female,2,own,little,moderate,4221.0,30,business,good
41,male,2,own,little,moderate,6361.0,18,furniture/equipment,good
23,male,2,rent,little,rich,1297.0,12,radio/TV,good
23,male,2,own,,little,900.0,12,car,bad
50,male,2,own,little,,2241.0,21,furniture/equipment,good
35,male,3,own,little,moderate,1050.0,6,furniture/equipment,good
50,female,1,own,little,rich,1047.0,6,education,good
27,male,3,own,little,,6314.0,24,vacation/others,good
34,male,2,own,rich,moderate,3496.0,30,furniture/equipment,good
27,female,2,own,little,,3609.0,48,business,good
43,male,2,rent,little,little,4843.0,12,car,bad
47,male,2,own,little,rich,3017.0,30,radio/TV,good
27,male,1,own,moderate,,4139.0,24,business,good
31,male,2,own,moderate,,5742.0,36,business,good
42,male,3,own,little,,10366.0,60,car,good
24,male,2,own,quite rich,,2080.0,6,car,good
41,male,1,own,quite rich,,2580.0,21,business,bad
26,female,3,rent,little,,4530.0,30,radio/TV,good
33,male,2,own,little,,5150.0,24,furniture/equipment,good
24,male,2,own,moderate,moderate,5595.0,72,radio/TV,bad
64,male,1,rent,little,little,2384.0,24,radio/TV,good
26,female,2,own,little,,1453.0,18,radio/TV,good
56,female,2,own,little,,1538.0,6,education,good
37,male,2,free,,,2279.0,12,radio/TV,good
33,male,2,own,little,,1478.0,15,radio/TV,good
47,male,2,free,little,,5103.0,24,radio/TV,good
31,male,1,own,moderate,moderate,9857.0,36,business,good
34,male,2,free,,,6527.0,60,car,good
27,male,2,own,,rich,1347.0,10,radio/TV,good
30,male,2,free,moderate,moderate,2862.0,36,car,good
35,male,2,own,moderate,,2753.0,9,radio/TV,good
31,male,2,own,rich,little,3651.0,12,car,good
25,male,2,own,little,little,975.0,15,furniture/equipment,good
25,female,1,own,moderate,moderate,2631.0,15,repairs,good
29,male,2,own,moderate,moderate,2896.0,24,radio/TV,good
44,male,1,own,,little,4716.0,6,car,good
28,male,2,own,little,,2284.0,24,radio/TV,good
50,male,2,rent,quite rich,,1236.0,6,car,good
29,male,2,own,little,moderate,1103.0,12,radio/TV,good
38,female,0,own,little,,926.0,12,car,good
24,male,2,own,little,,1800.0,18,radio/TV,good
40,male,3,rent,little,rich,1905.0,15,education,good
29,female,1,rent,quite rich,,1123.0,12,furniture/equipment,bad
46,male,2,free,little,little,6331.0,48,car,bad
47,female,2,free,moderate,rich,1377.0,24,radio/TV,good
41,male,2,own,moderate,moderate,2503.0,30,business,good
32,female,2,own,little,moderate,2528.0,27,business,good
35,female,2,free,quite rich,,5324.0,15,car,good
24,male,2,own,moderate,moderate,6560.0,48,car,bad
25,female,2,rent,little,moderate,2969.0,12,furniture/equipment,bad
25,female,2,own,little,moderate,1206.0,9,radio/TV,good
37,male,1,own,little,moderate,2118.0,9,radio/TV,good
32,male,3,own,quite rich,,629.0,18,radio/TV,good
35,female,2,free,little,little,1198.0,6,education,bad
46,male,3,own,,,2476.0,21,car,good
25,male,1,own,little,little,1138.0,9,radio/TV,good
27,male,3,own,little,moderate,14027.0,60,car,bad
63,male,2,own,,,7596.0,30,car,good
40,male,2,own,,,3077.0,30,radio/TV,good
32,male,3,free,little,,1505.0,18,radio/TV,good
31,male,2,own,,rich,3148.0,24,radio/TV,good
31,male,2,own,moderate,moderate,6148.0,20,car,good
34,male,3,own,little,rich,1337.0,9,radio/TV,bad
24,female,2,rent,rich,moderate,433.0,6,education,bad
24,female,1,own,little,little,1228.0,12,car,bad
66,female,1,own,quite rich,moderate,790.0,9,radio/TV,good
21,female,2,rent,little,,2570.0,27,car,bad
41,female,1,own,rich,,250.0,6,car,good
47,male,1,own,quite rich,,1316.0,15,radio/TV,good
25,female,2,rent,little,little,1882.0,18,radio/TV,bad
59,female,2,rent,little,moderate,6416.0,48,business,bad
36,male,2,own,rich,rich,1275.0,24,business,good
33,male,2,own,little,moderate,6403.0,24,radio/TV,good
21,male,1,rent,little,little,1987.0,24,radio/TV,bad
44,female,1,own,little,moderate,760.0,8,radio/TV,good
28,female,2,rent,rich,,2603.0,24,car,good
37,female,2,own,little,,3380.0,4,car,good
29,female,0,own,,moderate,3990.0,36,domestic appliances,good
23,female,3,rent,little,moderate,11560.0,24,car,bad
35,male,1,own,moderate,little,4380.0,18,car,good
45,male,3,own,little,,6761.0,6,car,good
26,female,1,rent,moderate,moderate,4280.0,30,business,bad
32,male,2,own,moderate,little,2325.0,24,car,good
23,male,1,own,little,moderate,1048.0,10,radio/TV,good
41,male,2,own,,,3160.0,21,radio/TV,good
22,male,2,own,quite rich,little,2483.0,24,furniture/equipment,good
30,male,3,own,,little,14179.0,39,furniture/equipment,good
28,male,1,own,little,little,1797.0,13,business,good
23,female,2,rent,little,little,2511.0,15,car,good
37,female,1,own,little,little,1274.0,12,car,bad
26,male,2,own,,,5248.0,21,car,good
33,male,2,own,little,,3029.0,15,car,good
49,female,2,own,little,little,428.0,6,furniture/equipment,good
23,female,1,own,little,little,976.0,18,car,bad
23,female,1,rent,moderate,moderate,841.0,12,business,good
25,female,2,own,little,,5771.0,30,radio/TV,good
85,male,2,free,18408.431922106345,,31546.075982431885,12,repairs,bad
32,female,2,rent,,little,1285.0,24,car,bad
74,male,0,own,little,rich,1299.0,6,car,good
39,male,2,free,,rich,1271.0,15,radio/TV,bad
31,male,2,own,little,,1393.0,24,car,good
35,male,2,own,little,little,691.0,12,car,bad
59,female,2,own,,,5045.0,15,car,good
24,female,2,rent,little,little,2124.0,18,furniture/equipment,bad
24,male,1,own,little,little,2214.0,12,radio/TV,good
30,male,3,free,,,12680.0,21,car,bad
27,male,2,own,moderate,,2463.0,24,car,good
40,male,1,own,little,moderate,1155.0,12,radio/TV,good
31,male,1,own,little,little,3108.0,30,furniture/equipment,bad
31,female,2,rent,,,2901.0,10,car,good
28,male,2,rent,little,moderate,3617.0,12,furniture/equipment,good
63,male,1,own,little,,1655.0,12,radio/TV,good
26,female,2,rent,,little,2812.0,24,car,good
25,female,3,own,little,little,8065.0,36,education,bad
36,male,3,own,little,,3275.0,21,car,good
52,male,2,own,moderate,,2223.0,24,radio/TV,good
66,male,0,free,quite rich,rich,1480.0,12,car,good
25,female,2,rent,,little,1371.0,24,car,bad
37,male,2,own,little,,3535.0,36,car,good
25,female,2,own,little,little,3509.0,18,radio/TV,good
38,male,3,own,rich,,5711.0,36,car,good
67,female,2,own,little,moderate,3872.0,18,repairs,good
25,male,2,own,little,moderate,4933.0,39,radio/TV,bad
60,male,2,own,rich,,1940.0,24,car,good
31,male,1,own,little,moderate,1410.0,12,education,good
23,female,1,own,moderate,moderate,836.0,12,car,bad
60,male,3,own,,moderate,6468.0,20,car,good
35,male,1,own,rich,moderate,1941.0,18,business,good
40,male,2,own,quite rich,,2675.0,22,radio/TV,good
38,male,2,own,,,2751.0,48,car,good
50,male,2,free,little,moderate,6224.0,48,education,bad
27,male,2,own,little,little,5998.0,40,education,bad
39,female,2,own,little,moderate,1188.0,21,business,bad
41,male,3,own,,,6313.0,24,car,good
27,male,2,own,,,1221.0,6,furniture/equipment,good
51,male,2,free,little,rich,2892.0,24,furniture/equipment,good
32,male,2,rent,quite rich,,3062.0,24,furniture/equipment,good
22,female,2,rent,moderate,,2301.0,9,furniture/equipment,good
51,male,2,free,,little,7511.0,18,car,bad
22,female,1,rent,little,,1258.0,12,furniture/equipment,good
54,male,2,own,,,717.0,24,car,good
35,male,0,own,,moderate,1549.0,9,car,good
54,male,2,free,little,,1597.0,24,education,good
48,female,1,rent,little,moderate,1795.0,18,radio/TV,good
24,female,2,own,little,little,4272.0,20,furniture/equipment,good
35,male,2,own,,,976.0,12,radio/TV,good
24,female,0,rent,,moderate,7472.0,12,car,good
24,male,2,own,little,little,9271.0,36,car,bad
26,male,1,own,little,moderate,590.0,6,radio/TV,good
65,male,2,own,,,930.0,12,radio/TV,good
55,male,3,free,little,moderate,9283.0,42,car,good
26,female,0,rent,little,moderate,1778.0,15,car,bad
26,male,2,own,little,moderate,907.0,8,business,good
28,male,1,own,little,moderate,484.0,6,radio/TV,good
24,male,2,own,little,little,9629.0,36,car,bad
54,male,2,own,little,little,3051.0,48,domestic appliances,bad
46,male,2,free,little,little,3931.0,48,car,bad
54,female,2,rent,little,moderate,7432.0,36,car,good
62,male,2,own,quite rich,,1338.0,6,domestic appliances,good
24,female,2,rent,little,,1554.0,6,radio/TV,good
43,male,3,own,little,little,15857.0,36,vacation/others,good
26,male,2,own,little,little,1345.0,18,radio/TV,bad
27,male,2,own,little,,1101.0,12,car,good
24,male,2,own,little,rich,3016.0,12,radio/TV,good
41,male,2,own,little,little,2712.0,36,furniture/equipment,bad
47,male,1,own,little,little,731.0,8,car,good
35,male,3,own,little,,3780.0,18,furniture/equipment,good
30,male,2,own,little,little,1602.0,21,car,good
33,female,2,rent,little,little,3966.0,18,car,bad
36,male,2,own,little,,4165.0,18,business,bad
47,male,2,free,,little,8335.0,36,car,bad
38,male,2,free,,moderate,6681.0,48,business,good
44,male,2,own,quite rich,,2375.0,24,business,good
23,female,2,rent,little,little,1216.0,18,car,bad
29,male,2,rent,little,little,11816.0,45,business,bad
42,female,2,own,,moderate,5084.0,24,radio/TV,good
25,female,1,own,little,rich,2327.0,15,radio/TV,bad
48,male,2,own,little,little,1082.0,12,car,bad
21,female,2,own,,,886.0,12,radio/TV,good
23,female,1,rent,little,,601.0,4,furniture/equipment,good
63,male,2,own,little,little,2957.0,24,car,good
46,male,2,own,little,,2611.0,24,radio/TV,good
29,male,2,own,little,little,5179.0,36,furniture/equipment,bad
28,male,1,own,little,,2993.0,21,car,good
23,female,2,own,little,,1943.0,18,repairs,bad
50,male,2,own,little,,1559.0,24,business,good
47,male,2,own,little,,3422.0,18,furniture/equipment,good
35,male,2,own,,moderate,3976.0,21,furniture/equipment,good
68,male,2,rent,,,6761.0,18,car,bad
28,male,2,own,little,,1249.0,24,car,good
59,male,2,own,little,little,1364.0,9,radio/TV,good
57,male,1,own,little,little,709.0,12,radio/TV,bad
33,male,2,rent,little,little,2235.0,20,car,bad
43,male,2,own,,,4042.0,24,car,good
35,male,2,free,little,,1471.0,15,radio/TV,good
32,male,1,free,little,little,1442.0,18,car,bad
45,male,2,own,little,,10875.0,36,car,good
33,male,2,own,moderate,,1474.0,24,car,good
40,female,2,own,,,894.0,10,education,good
28,male,2,free,little,,3343.0,15,furniture/equipment,good
29,female,2,own,little,little,3959.0,15,car,bad
26,male,2,rent,moderate,,3577.0,9,car,good
27,male,2,own,rich,,5804.0,24,car,good
28,male,2,own,little,,2169.0,18,business,bad
35,female,2,own,little,little,2439.0,24,radio/TV,bad
32,male,1,own,rich,,4526.0,27,furniture/equipment,good
25,male,1,rent,little,,2210.0,10,furniture/equipment,bad
20,female,2,rent,quite rich,,2221.0,15,furniture/equipment,good
27,female,2,own,little,little,2389.0,18,radio/TV,good
42,male,2,own,little,,3331.0,12,furniture/equipment,good
37,male,2,own,,,7409.0,36,business,good
24,female,2,rent,little,little,652.0,12,furniture/equipment,good
40,female,2,own,quite rich,,7678.0,36,furniture/equipment,good
46,male,2,own,little,rich,1343.0,6,car,good
26,male,2,own,moderate,little,1382.0,24,business,good
24,female,2,own,,,874.0,15,domestic appliances,good
29,male,1,own,little,little,3590.0,12,furniture/equipment,good
40,female,2,own,rich,moderate,1322.0,11,car,good
36,male,3,free,little,little,1940.0,18,radio/TV,good
28,male,2,own,little,,3595.0,36,radio/TV,good
27,male,3,free,little,little,1422.0,9,car,bad
36,male,2,own,,,6742.0,30,radio/TV,good
38,male,3,own,little,,7814.0,24,car,good
48,male,2,free,,,9277.0,24,car,good
36,male,2,own,,moderate,2181.0,30,car,good
65,female,0,own,little,,1098.0,18,radio/TV,good
43,male,2,own,little,moderate,4057.0,24,furniture/equipment,bad
53,female,2,own,little,little,795.0,12,education,bad
34,male,2,own,,moderate,2825.0,24,business,good
23,male,2,own,little,moderate,15672.0,48,business,bad
34,male,3,own,little,,6614.0,36,car,good
40,male,2,rent,,,7824.0,28,car,good
43,male,3,own,little,little,2442.0,27,business,good
46,male,2,own,little,,1829.0,15,radio/TV,good
38,male,1,own,little,little,2171.0,12,car,good
34,male,2,own,little,moderate,5800.0,36,car,good
29,male,2,own,,,1169.0,18,radio/TV,good
31,male,3,own,,,8947.0,36,car,good
28,female,3,rent,little,little,2606.0,21,radio/TV,good
35,female,2,own,rich,,1592.0,12,furniture/equipment,good
33,female,1,rent,,,2186.0,15,furniture/equipment,good
42,male,2,own,little,little,4153.0,18,furniture/equipment,bad
43,male,2,rent,little,little,2625.0,16,car,bad
44,male,2,own,,,3485.0,20,car,good
42,male,2,free,,,10477.0,36,car,good
40,male,2,rent,,,1386.0,15,radio/TV,good
36,male,3,own,little,,1278.0,24,radio/TV,good
20,male,3,rent,little,little,1107.0,12,radio/TV,good
24,male,1,own,,little,3763.0,21,car,good
27,male,2,own,,moderate,3711.0,36,education,good
46,female,1,own,little,,3594.0,15,car,good
33,female,1,own,,moderate,3195.0,9,car,good
34,female,2,own,little,,4454.0,36,radio/TV,good
25,female,1,own,little,moderate,4736.0,24,furniture/equipment,bad
25,female,2,own,,moderate,2991.0,30,radio/TV,good
28,male,2,own,rich,,2142.0,11,business,good
31,male,2,rent,little,little,3161.0,24,business,bad
32,female,3,own,little,moderate,18424.0,48,vacation/others,bad
32,male,2,own,moderate,,2848.0,10,car,good
68,male,3,own,little,little,14896.0,6,car,bad
33,male,2,own,moderate,little,2359.0,24,furniture/equipment,bad
39,male,3,rent,little,little,3345.0,24,furniture/equipment,bad
28,female,2,own,little,,1817.0,18,furniture/equipment,good
37,male,3,own,quite rich,,12749.0,48,radio/TV,good
22,female,2,rent,little,little,1366.0,9,radio/TV,bad
30,male,2,rent,little,moderate,2002.0,12,car,good
55,male,2,own,little,little,6872.0,24,furniture/equipment,bad
46,male,2,own,little,little,697.0,12,car,bad
21,female,2,rent,little,little,1049.0,18,furniture/equipment,good
39,male,2,free,little,little,10297.0,48,car,bad
58,male,2,own,,,1867.0,30,radio/TV,good
43,male,1,own,little,little,1344.0,12,car,good
24,male,1,own,little,little,1747.0,24,furniture/equipment,good
22,female,2,own,little,moderate,1670.0,9,radio/TV,bad
30,male,2,own,little,,1224.0,9,car,good
42,male,2,own,quite rich,,522.0,12,radio/TV,good
23,female,2,own,little,little,1498.0,12,radio/TV,good
30,male,3,own,moderate,moderate,1919.0,30,radio/TV,bad
28,female,1,own,little,rich,745.0,9,radio/TV,bad
30,male,3,rent,little,moderate,2063.0,6,radio/TV,good
42,male,2,free,little,moderate,6288.0,60,education,bad
46,male,3,own,,,6842.0,24,car,good
45,male,3,own,,,3527.0,12,car,good
31,male,1,own,little,,1546.0,10,car,good
31,male,2,own,,,929.0,24,furniture/equipment,good
42,male,1,own,little,,1455.0,4,car,good
46,female,2,rent,little,little,1845.0,15,furniture/equipment,good
30,female,2,own,quite rich,moderate,8358.0,48,car,good
30,male,2,free,quite rich,little,3349.0,24,furniture/equipment,bad
38,male,3,own,,,2859.0,12,car,good
43,male,1,own,little,,1533.0,18,furniture/equipment,bad
31,male,2,own,moderate,,3621.0,24,radio/TV,bad
40,male,0,own,little,moderate,3590.0,18,business,good
24,male,2,own,little,little,2145.0,36,business,bad
28,female,2,rent,quite rich,moderate,4113.0,24,car,bad
26,female,3,own,little,,10974.0,36,furniture/equipment,bad
29,female,2,own,little,little,1893.0,12,car,good
57,female,3,rent,rich,little,1231.0,24,radio/TV,good
49,male,1,own,,rich,3656.0,30,radio/TV,good
37,male,1,own,little,moderate,1154.0,9,radio/TV,good
45,male,1,own,little,little,4006.0,28,car,bad
30,male,2,free,moderate,moderate,3069.0,24,furniture/equipment,good
30,male,2,rent,little,,1740.0,6,radio/TV,good
47,male,2,own,little,moderate,2353.0,21,car,good
29,male,2,own,,,3556.0,15,car,good
35,male,2,own,quite rich,,2397.0,24,radio/TV,bad
22,male,1,own,little,moderate,454.0,6,repairs,good
26,female,2,own,,moderate,1715.0,30,radio/TV,good
23,male,1,own,quite rich,moderate,2520.0,27,radio/TV,bad
54,female,3,rent,little,,3568.0,15,radio/TV,good
29,male,2,rent,,,7166.0,42,radio/TV,good
40,male,1,own,little,little,3939.0,11,car,good
22,male,2,own,moderate,moderate,1514.0,15,repairs,good
43,male,1,own,little,,7393.0,24,car,good
29,female,0,rent,little,little,1193.0,24,car,bad
36,male,2,rent,little,little,7297.0,60,business,bad
33,female,2,own,little,,2831.0,30,radio/TV,good
57,female,1,own,quite rich,rich,1258.0,24,radio/TV,good
64,female,2,own,little,moderate,753.0,6,radio/TV,good
42,male,2,own,,moderate,2427.0,18,business,good
47,male,1,own,little,,2538.0,24,car,bad
25,male,2,rent,moderate,moderate,1264.0,15,car,bad
49,male,2,own,little,moderate,8386.0,30,furniture/equipment,bad
33,male,3,rent,little,,4844.0,48,business,bad
28,female,3,own,moderate,rich,2923.0,21,car,good
26,male,2,own,little,little,8229.0,36,car,bad
30,male,1,own,little,,2028.0,24,furniture/equipment,good
25,female,2,rent,little,little,1433.0,15,furniture/equipment,good
33,male,2,own,little,rich,6289.0,42,business,good
64,female,2,own,moderate,,1409.0,13,radio/TV,good
29,male,3,free,little,little,6579.0,24,car,good
48,male,1,own,little,moderate,1743.0,24,radio/TV,good
37,male,1,own,,,3565.0,12,education,good
34,male,1,own,moderate,,1569.0,15,radio/TV,good
23,male,1,rent,,little,1936.0,18,radio/TV,good
30,male,3,own,little,little,3959.0,36,furniture/equipment,good
50,male,2,own,,,2390.0,12,car,good
31,female,1,own,little,,1736.0,12,furniture/equipment,good
40,male,3,own,little,little,3857.0,30,car,good
38,male,2,own,little,,804.0,12,radio/TV,good
23,male,2,free,little,little,1845.0,45,radio/TV,bad
27,male,2,own,moderate,moderate,4576.0,45,car,good
